Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
rev_sp|P46821|MAP1B_HUMAN	rev_P46821	rev_MAP1B_HUMAN	rev_MAP1B	2468	Homo sapiens	Microtubule-associated protein 1B	1:Experimental evidence at protein level	0.45	1.0000	0.9879	1	1	1	1	1	1	4.0458E7	4.0458E7	4.0458E7			
rev_sp|P49792|RBP2_HUMAN	rev_P49792	rev_RBP2_HUMAN	rev_RANBP2	3224	Homo sapiens	E3 SUMO-protein ligase RanBP2	1:Experimental evidence at protein level	0.40	1.0000	0.9987	1	1	1	1	1	1	0	0	0			
rev_sp|P52179|MYOM1_HUMAN	rev_P52179	rev_MYOM1_HUMAN	rev_MYOM1	1685	Homo sapiens	Myomesin-1	1:Experimental evidence at protein level	0.47	1.0000	0.9921	1	1	1	2	2	2	9494360.0	9494360.0	9494360.0			
rev_sp|P52272|HNRPM_HUMAN	rev_P52272	rev_HNRPM_HUMAN	rev_HNRNPM	730	Homo sapiens	Heterogeneous nuclear ribonucleoprotein M	1:Experimental evidence at protein level	2.05	1.0000	0.9396	1	1	1	1	1	1	1.03510144E8	1.03510144E8	1.03510144E8			
rev_sp|P54577|SYYC_HUMAN	rev_P54577	rev_SYYC_HUMAN	rev_YARS1	528	Homo sapiens	Tyrosine--tRNA ligase, cytoplasmic	1:Experimental evidence at protein level	5.68	1.0000	0.9930	2	2	2	2	2	2	3.0726316E7	3.0726316E7	3.0726316E7	8C(57.0214)		
rev_sp|P56715|RP1_HUMAN	rev_P56715	rev_RP1_HUMAN	rev_RP1	2156	Homo sapiens	Oxygen-regulated protein 1	1:Experimental evidence at protein level	0.60	1.0000	0.9931	1	1	1	1	1	1	0	0	0			
rev_sp|P78357|CNTP1_HUMAN	rev_P78357	rev_CNTP1_HUMAN	rev_CNTNAP1	1384	Homo sapiens	Contactin-associated protein 1	1:Experimental evidence at protein level	0.79	1.0000	0.9808	1	1	1	1	1	1	0	0	0			
rev_sp|P78509|RELN_HUMAN	rev_P78509	rev_RELN_HUMAN	rev_RELN	3460	Homo sapiens	Reelin	1:Experimental evidence at protein level	0.38	1.0000	0.9810	1	1	1	1	1	1	0	0	0	3M(15.9949), 4M(15.9949)		
rev_sp|P78527|PRKDC_HUMAN	rev_P78527	rev_PRKDC_HUMAN	rev_PRKDC	4128	Homo sapiens	DNA-dependent protein kinase catalytic subunit	1:Experimental evidence at protein level	0.34	1.0000	0.9789	2	2	2	1	1	1	2.8973302E7	2.8973302E7	2.8973302E7			
rev_sp|P78559|MAP1A_HUMAN	rev_P78559	rev_MAP1A_HUMAN	rev_MAP1A	2803	Homo sapiens	Microtubule-associated protein 1A	1:Experimental evidence at protein level	0.25	1.0000	0.9892	1	1	1	2	2	2	0	0	0			
rev_sp|Q02224|CENPE_HUMAN	rev_Q02224	rev_CENPE_HUMAN	rev_CENPE	2701	Homo sapiens	Centromere-associated protein E	1:Experimental evidence at protein level	0.70	1.0000	0.9786	1	1	1	1	1	1	0	0	0			
rev_sp|Q03001|DYST_HUMAN	rev_Q03001	rev_DYST_HUMAN	rev_DST	7570	Homo sapiens	Dystonin	1:Experimental evidence at protein level	0.09	1.0000	0.9963	1	1	1	1	1	1	0	0	0			
rev_sp|Q03692|COAA1_HUMAN	rev_Q03692	rev_COAA1_HUMAN	rev_COL10A1	680	Homo sapiens	Collagen alpha-1(X) chain	1:Experimental evidence at protein level	3.24	1.0000	0.9908	1	1	1	1	1	1	0	0	0			
rev_sp|Q05682|CALD1_HUMAN	rev_Q05682	rev_CALD1_HUMAN	rev_CALD1	793	Homo sapiens	Caldesmon	1:Experimental evidence at protein level	1.13	1.0000	0.9919	1	1	1	1	1	1	2.081663E7	2.081663E7	2.081663E7			
rev_sp|Q08211|DHX9_HUMAN	rev_Q08211	rev_DHX9_HUMAN	rev_DHX9	1270	Homo sapiens	ATP-dependent RNA helicase A	1:Experimental evidence at protein level	1.73	1.0000	0.9803	2	2	2	2	2	2	0	0	0	3C(57.0214),6C(57.0214)		
rev_sp|Q08999|RBL2_HUMAN	rev_Q08999	rev_RBL2_HUMAN	rev_RBL2	1139	Homo sapiens	Retinoblastoma-like protein 2	1:Experimental evidence at protein level	0.97	1.0000	0.8703	1	1	1	1	1	1	0	0	0			
rev_sp|Q09666|AHNK_HUMAN	rev_Q09666	rev_AHNK_HUMAN	rev_AHNAK	5890	Homo sapiens	Neuroblast differentiation-associated protein AHNAK	1:Experimental evidence at protein level	0.58	1.0000	0.9866	3	3	3	4	4	4	0	0	0	8M(15.9949)		
rev_sp|Q12772|SRBP2_HUMAN	rev_Q12772	rev_SRBP2_HUMAN	rev_SREBF2	1141	Homo sapiens	Sterol regulatory element-binding protein 2	1:Experimental evidence at protein level	1.23	1.0000	0.9721	1	1	1	1	1	1	0	0	0			
rev_sp|Q12873|CHD3_HUMAN	rev_Q12873	rev_CHD3_HUMAN	rev_CHD3	2000	Homo sapiens	Chromodomain-helicase-DNA-binding protein 3	1:Experimental evidence at protein level	1.50	1.0000	0.9917	2	2	2	4	4	4	1.44557222E9	1.44557222E9	1.44557222E9	15C(57.0214), 16C(57.0214), 4M(15.9949)		
rev_sp|Q12923|PTN13_HUMAN	rev_Q12923	rev_PTN13_HUMAN	rev_PTPN13	2485	Homo sapiens	Tyrosine-protein phosphatase non-receptor type 13	1:Experimental evidence at protein level	1.01	1.0000	0.9781	2	2	2	3	3	3	0	0	0			
rev_sp|Q12955|ANK3_HUMAN	rev_Q12955	rev_ANK3_HUMAN	rev_ANK3	4377	Homo sapiens	Ankyrin-3	1:Experimental evidence at protein level	0.64	1.0000	0.9926	2	2	2	2	2	2	5342054.5	5342054.5	5342054.5	18M(15.9949)		
rev_sp|Q13023|AKAP6_HUMAN	rev_Q13023	rev_AKAP6_HUMAN	rev_AKAP6	2319	Homo sapiens	A-kinase anchor protein 6	1:Experimental evidence at protein level	0.47	1.0000	0.9962	1	1	1	3	3	3	8.9997184E8	8.9997184E8	8.9997184E8			
rev_sp|Q13315|ATM_HUMAN	rev_Q13315	rev_ATM_HUMAN	rev_ATM	3056	Homo sapiens	Serine-protein kinase ATM	1:Experimental evidence at protein level	0.85	1.0000	0.9238	2	2	2	2	2	2	0	0	0			
rev_sp|Q13395|TARB1_HUMAN	rev_Q13395	rev_TARB1_HUMAN	rev_TARBP1	1621	Homo sapiens	Probable methyltransferase TARBP1	1:Experimental evidence at protein level	1.23	1.0000	0.9892	1	1	1	1	1	1	0	0	0	13C(57.0214)		
rev_sp|Q14160|SCRIB_HUMAN	rev_Q14160	rev_SCRIB_HUMAN	rev_SCRIB	1630	Homo sapiens	Protein scribble homolog	1:Experimental evidence at protein level	0.67	1.0000	0.9671	1	1	1	1	1	1	1.6006611E7	1.6006611E7	1.6006611E7			
rev_sp|Q14643|ITPR1_HUMAN	rev_Q14643	rev_ITPR1_HUMAN	rev_ITPR1	2758	Homo sapiens	Inositol 1,4,5-trisphosphate receptor type 1	1:Experimental evidence at protein level	0.33	1.0000	0.9756	1	1	1	1	1	1	6191862.0	6191862.0	6191862.0	3M(15.9949), 5M(15.9949)		
rev_sp|Q14689|DIP2A_HUMAN	rev_Q14689	rev_DIP2A_HUMAN	rev_DIP2A	1571	Homo sapiens	Disco-interacting protein 2 homolog A	1:Experimental evidence at protein level	1.46	1.0000	0.9493	2	2	2	2	2	2	0	0	0	9C(57.0214)		
rev_sp|Q14789|GOGB1_HUMAN	rev_Q14789	rev_GOGB1_HUMAN	rev_GOLGB1	3259	Homo sapiens	Golgin subfamily B member 1	1:Experimental evidence at protein level	0.64	1.0000	0.9934	2	2	2	2	2	2	1.0678366E7	1.0678366E7	1.0678366E7			
rev_sp|Q14980|NUMA1_HUMAN	rev_Q14980	rev_NUMA1_HUMAN	rev_NUMA1	2115	Homo sapiens	Nuclear mitotic apparatus protein 1	1:Experimental evidence at protein level	1.23	1.0000	0.9922	3	3	3	4	4	4	9161822.0	9161822.0	9161822.0			
rev_sp|Q14CX7|NAA25_HUMAN	rev_Q14CX7	rev_NAA25_HUMAN	rev_NAA25	972	Homo sapiens	N-alpha-acetyltransferase 25, NatB auxiliary subunit	1:Experimental evidence at protein level	1.44	1.0000	0.9641	1	1	1	1	1	1	0	0	0	6M(15.9949)		
rev_sp|Q15149|PLEC_HUMAN	rev_Q15149	rev_PLEC_HUMAN	rev_PLEC	4684	Homo sapiens	Plectin	1:Experimental evidence at protein level	0.21	1.0000	0.9964	1	1	1	1	1	1	0	0	0	4M(15.9949)		
rev_sp|Q15276|RABE1_HUMAN	rev_Q15276	rev_RABE1_HUMAN	rev_RABEP1	862	Homo sapiens	Rab GTPase-binding effector protein 1	1:Experimental evidence at protein level	1.51	1.0000	0.9939	1	1	1	1	1	1	0	0	0	3M(15.9949), 7M(15.9949)		
rev_sp|Q15413|RYR3_HUMAN	rev_Q15413	rev_RYR3_HUMAN	rev_RYR3	4870	Homo sapiens	Ryanodine receptor 3	1:Experimental evidence at protein level	0.18	1.0000	0.9629	1	1	1	1	1	1	4.1585436E7	4.1585436E7	4.1585436E7			
rev_sp|Q15811|ITSN1_HUMAN	rev_Q15811	rev_ITSN1_HUMAN	rev_ITSN1	1721	Homo sapiens	Intersectin-1	1:Experimental evidence at protein level	0.64	1.0000	0.9927	1	1	1	1	1	1	0	0	0	8M(15.9949)		
rev_sp|Q2VWP7|PRTG_HUMAN	rev_Q2VWP7	rev_PRTG_HUMAN	rev_PRTG	1150	Homo sapiens	Protogenin	2:Experimental evidence at transcript level	0.70	1.0000	0.9503	1	1	1	1	1	1	1.007192E7	1.007192E7	1.007192E7			
rev_sp|Q3L8U1|CHD9_HUMAN	rev_Q3L8U1	rev_CHD9_HUMAN	rev_CHD9	2897	Homo sapiens	Chromodomain-helicase-DNA-binding protein 9	1:Experimental evidence at protein level	0.59	1.0000	0.9581	1	1	1	1	1	1	0	0	0	6M(15.9949)		
rev_sp|Q3T906|GNPTA_HUMAN	rev_Q3T906	rev_GNPTA_HUMAN	rev_GNPTAB	1256	Homo sapiens	N-acetylglucosamine-1-phosphotransferase subunits alpha/beta	1:Experimental evidence at protein level	0.96	1.0000	0.9210	1	1	1	1	1	1	0	0	0			
rev_sp|Q4AC94|C2CD3_HUMAN	rev_Q4AC94	rev_C2CD3_HUMAN	rev_C2CD3	2353	Homo sapiens	C2 domain-containing protein 3	1:Experimental evidence at protein level	0.59	1.0000	0.9862	1	1	1	1	1	1	0	0	0			
rev_sp|Q4L180|FIL1L_HUMAN	rev_Q4L180	rev_FIL1L_HUMAN	rev_FILIP1L	1135	Homo sapiens	Filamin A-interacting protein 1-like	1:Experimental evidence at protein level	0.79	1.0000	0.9876	1	1	1	1	1	1	1.505173E7	1.505173E7	1.505173E7			
rev_sp|Q5SNV9|CA167_HUMAN	rev_Q5SNV9	rev_CA167_HUMAN	rev_C1orf167	1468	Homo sapiens	Uncharacterized protein C1orf167	2:Experimental evidence at transcript level	0.82	1.0000	0.9983	1	1	1	1	1	1	0	0	0	2C(57.0214)		
rev_sp|Q5TZA2|CROCC_HUMAN	rev_Q5TZA2	rev_CROCC_HUMAN	rev_CROCC	2017	Homo sapiens	Rootletin	1:Experimental evidence at protein level	0.59	1.0000	0.9986	1	1	1	1	1	1	0	0	0			
rev_sp|Q5UIP0|RIF1_HUMAN	rev_Q5UIP0	rev_RIF1_HUMAN	rev_RIF1	2472	Homo sapiens	Telomere-associated protein RIF1	1:Experimental evidence at protein level	0.36	1.0000	0.9891	1	1	1	1	1	1	0	0	0			
rev_sp|Q5VT52|RPRD2_HUMAN	rev_Q5VT52	rev_RPRD2_HUMAN	rev_RPRD2	1461	Homo sapiens	Regulation of nuclear pre-mRNA domain-containing protein 2	1:Experimental evidence at protein level	0.48	1.0000	0.9617	1	1	1	4	4	4	1.14711788E10	1.14711788E10	1.14711788E10			
rev_sp|Q5VU43|MYOME_HUMAN	rev_Q5VU43	rev_MYOME_HUMAN	rev_PDE4DIP	2346	Homo sapiens	Myomegalin	1:Experimental evidence at protein level	1.07	1.0000	0.9860	2	2	2	2	2	2	6.5326364E7	6.5326364E7	6.5326364E7	4M(15.9949), 9C(57.0214)		
rev_sp|Q5VUR7|A20A3_HUMAN	rev_Q5VUR7	rev_A20A3_HUMAN	rev_ANKRD20A3P	823	Homo sapiens	Putative ankyrin repeat domain-containing protein 20A3	5:Protein uncertain	0.85	1.0000	0.9901	1	0	1	1	0	1	7986973.0	0	7986973.0			
rev_sp|Q5VWN6|TASO2_HUMAN	rev_Q5VWN6	rev_TASO2_HUMAN	rev_TASOR2	2430	Homo sapiens	Protein TASOR 2	1:Experimental evidence at protein level	0.49	1.0000	0.9326	1	1	1	1	1	1	0	0	0			
rev_sp|Q5VZK9|CARL1_HUMAN	rev_Q5VZK9	rev_CARL1_HUMAN	rev_CARMIL1	1371	Homo sapiens	F-actin-uncapping protein LRRC16A	1:Experimental evidence at protein level	1.60	1.0000	0.9924	2	2	2	2	2	2	2.4693624E7	2.4693624E7	2.4693624E7	6M(15.9949), 8C(57.0214)		
rev_sp|Q63HN8|RN213_HUMAN	rev_Q63HN8	rev_RN213_HUMAN	rev_RNF213	5207	Homo sapiens	E3 ubiquitin-protein ligase RNF213	1:Experimental evidence at protein level	0.15	1.0000	0.9909	1	1	1	1	1	1	0	0	0			
rev_sp|Q68DK2|ZFY26_HUMAN	rev_Q68DK2	rev_ZFY26_HUMAN	rev_ZFYVE26	2539	Homo sapiens	Zinc finger FYVE domain-containing protein 26	1:Experimental evidence at protein level	0.79	1.0000	0.9874	2	2	2	2	2	2	1.1354526E7	1.1354526E7	1.1354526E7	6M(15.9949)		
rev_sp|Q68DN1|CB016_HUMAN	rev_Q68DN1	rev_CB016_HUMAN	rev_C2orf16	1984	Homo sapiens	Uncharacterized protein C2orf16	2:Experimental evidence at transcript level	0.71	1.0000	0.9894	1	1	1	1	1	1	0	0	0			
rev_sp|Q6DT37|MRCKG_HUMAN	rev_Q6DT37	rev_MRCKG_HUMAN	rev_CDC42BPG	1551	Homo sapiens	Serine/threonine-protein kinase MRCK gamma	1:Experimental evidence at protein level	1.03	1.0000	0.9960	2	2	2	3	3	3	3.6257584E8	3.6257584E8	3.6257584E8			
rev_sp|Q6N021|TET2_HUMAN	rev_Q6N021	rev_TET2_HUMAN	rev_TET2	2002	Homo sapiens	Methylcytosine dioxygenase TET2	1:Experimental evidence at protein level	0.95	1.0000	0.9936	1	1	1	1	1	1	0	0	0	10M(15.9949), 5C(57.0214)		
rev_sp|Q6P2E9|EDC4_HUMAN	rev_Q6P2E9	rev_EDC4_HUMAN	rev_EDC4	1401	Homo sapiens	Enhancer of mRNA-decapping protein 4	1:Experimental evidence at protein level	1.07	1.0000	0.9986	1	1	1	1	1	1	0	0	0	5M(15.9949)		
rev_sp|Q6T4R5|NHS_HUMAN	rev_Q6T4R5	rev_NHS_HUMAN	rev_NHS	1651	Homo sapiens	Actin remodeling regulator NHS	1:Experimental evidence at protein level	0.55	1.0000	0.9826	1	1	1	1	1	1	0	0	0			
rev_sp|Q6V0I7|FAT4_HUMAN	rev_Q6V0I7	rev_FAT4_HUMAN	rev_FAT4	4981	Homo sapiens	Protocadherin Fat 4	1:Experimental evidence at protein level	0.30	1.0000	0.9869	1	1	1	1	1	1	0	0	0			
rev_sp|Q6W2J9|BCOR_HUMAN	rev_Q6W2J9	rev_BCOR_HUMAN	rev_BCOR	1755	Homo sapiens	BCL-6 corepressor	1:Experimental evidence at protein level	0.80	1.0000	0.9718	1	1	1	1	1	1	0	0	0	4C(57.0214)		
rev_sp|Q6WKZ4|RFIP1_HUMAN	rev_Q6WKZ4	rev_RFIP1_HUMAN	rev_RAB11FIP1	1283	Homo sapiens	Rab11 family-interacting protein 1	1:Experimental evidence at protein level	1.79	1.0000	0.9695	2	2	2	2	2	2	2865317.0	2865317.0	2865317.0	4M(15.9949)		
