Protein.Group	Protein.Names	Genes	First.Protein.Description	S:\Proteomics\CMB\CMB-1515\T063417_AurEl7_PM7_CMB-1515_9_GD6_1_10072.d	S:\Proteomics\CMB\CMB-1515\T063423_AurEl7_PM7_CMB-1515_6_GD3_1_10078.d	S:\Proteomics\CMB\CMB-1515\T063425_AurEl7_PM7_CMB-1515_5_GD2_1_10080.d	S:\Proteomics\CMB\CMB-1515\T063427_AurEl7_PM7_CMB-1515_4_GD1_1_10082.d	S:\Proteomics\CMB\CMB-1515\T063429_AurEl7_PM7_CMB-1515_3_GC8_1_10084.d	S:\Proteomics\CMB\CMB-1515\T063431_AurEl7_PM7_CMB-1515_2_GC7_1_10086.d
A0A8Q3SIZ7	A0A8Q3SIZ7_HUMAN		Uncharacterized protein					88908.8	26074.7
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	440.896					
A8K2U0	A2ML1_HUMAN	A2ML1	Alpha-2-macroglobulin-like protein 1	4052.27	22254	23306.4	25297.1	16285.2	35864.3
B2RPK0;P09429	HGB1A_HUMAN;HMGB1_HUMAN	HMGB1;HMGB1P1	Putative high mobility group protein B1-like 1	19484.5		10880.7	21864.8	19779.2	5418.43
B9A064;P0CG04	IGLC1_HUMAN;IGLL5_HUMAN	IGLC1;IGLL5	Immunoglobulin lambda-like polypeptide 5	1914.55	8867.82	4504.75	8135.09	3663.44	3108.92
E9PAV3;Q9BZK3	NACAM_HUMAN;NACP4_HUMAN	NACA;NACA4P	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	1891.92	2321.77	2458.11	2662.77		
O00142	KITM_HUMAN	TK2	Thymidine kinase 2, mitochondrial	2877.02	26004.7	25323.8		26224.7	
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	12449.7	5998.17			20161.9	1819.32
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	24806.3	5487.62	12392	17005.1	10861.7	8986.52
O00159;Q9UBC5	MYO1A_HUMAN;MYO1C_HUMAN	MYO1A;MYO1C	Unconventional myosin-Ic	7072.15		4867.58		7697.77	
O00160;O43795;Q12965	MYO1B_HUMAN;MYO1E_HUMAN;MYO1F_HUMAN	MYO1B;MYO1E;MYO1F	Unconventional myosin-If					1252.63	
O00391	QSOX1_HUMAN	QSOX1	Sulfhydryl oxidase 1		4935	7453.68	5617.83	3770.66	6545.65
O00560	SDCB1_HUMAN	SDCBP	Syntenin-1	1545.88		851.135	1507.49	1851.11	1200.07
O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	1679.51	2030.9	2023.43	2817.89	2014.23	1959.65
O14558	HSPB6_HUMAN	HSPB6	Heat shock protein beta-6	27629.7	2308.44	4844.89	39469.4	5707.05	12736.1
O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5		459.119	1160.2	1882.81		1180.96
O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	4650.39	12033.8	12978.1	10520.3	8449.26	19614.3
O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7		16654.1	12490.8		3810.62	24462.9
O14818;Q8TAA3	PSA7_HUMAN;PSMA8_HUMAN	PSMA7;PSMA8	Proteasome subunit alpha type-7	3676.98	11948.4	11395.8	11159.5	5350.45	23351
O14950;P19105	ML12A_HUMAN;ML12B_HUMAN	MYL12A;MYL12B	Myosin regulatory light chain 12B	9027.33				6171.33	
O14974	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	2040.91		1158.54		849.657	
O14974;O60237	MYPT1_HUMAN;MYPT2_HUMAN	PPP1R12A;PPP1R12B	Protein phosphatase 1 regulatory subunit 12A	1704.08					
O15144	ARPC2_HUMAN	ARPC2	Actin-related protein 2/3 complex subunit 2	13863.8	10646.8		6697.55	7641.75	1824.53
O15145	ARPC3_HUMAN	ARPC3	Actin-related protein 2/3 complex subunit 3	878.603		1263.77	2885.89	807.861	3119.67
O15230	LAMA5_HUMAN	LAMA5	Laminin subunit alpha-5	134354	7337.12	81188.7	60583.7	83579.1	39458
O15230;Q16787	LAMA3_HUMAN;LAMA5_HUMAN	LAMA3;LAMA5	Laminin subunit alpha-5	3317.87				2592.89	
O15511	ARPC5_HUMAN	ARPC5	Actin-related protein 2/3 complex subunit 5	14093.6	15900.2	21913.1	14638.9	22916.9	6533.79
O43150	ASAP2_HUMAN	ASAP2	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2					6108.26	
O43169	CYB5B_HUMAN	CYB5B	Cytochrome b5 type B	2299.8					
O43175	SERA_HUMAN	PHGDH	D-3-phosphoglycerate dehydrogenase			1359.07	3715.61		
O43240	KLK10_HUMAN	KLK10	Kallikrein-10		1769.83	2534.87	4224.07	1855.03	3958.7
O43294	TGFI1_HUMAN	TGFB1I1	Transforming growth factor beta-1-induced transcript 1 protein	9651.9	3458.65	5402.36		11004.2	1327.11
O43323	DHH_HUMAN	DHH	Desert hedgehog protein	4016.55					
O43399	TPD54_HUMAN	TPD52L2	Tumor protein D54	5244.69		6083.74	6035.81	5681.52	2480.49
O43548	TGM5_HUMAN	TGM5	Protein-glutamine gamma-glutamyltransferase 5		4131.34	9748.15	2800.43	5875.27	6510.26
O43707	ACTN4_HUMAN	ACTN4	Alpha-actinin-4	30784.1	24488.9	47022.2	36917.1	104736	13871.4
O43707;P12814	ACTN1_HUMAN;ACTN4_HUMAN	ACTN1;ACTN4	Alpha-actinin-4	64847.3	37736.6	61295.1	49977.2	82201.2	27587.8
O43707;Q9H254	ACTN4_HUMAN;SPTN4_HUMAN	ACTN4;SPTBN4	Alpha-actinin-4	10281.2	4109.79	14589.3	6006.62	15514.5	3492.08
O43760	SNG2_HUMAN	SYNGR2	Synaptogyrin-2	3162.08	8181.3	6146.91	4409.79	5549.49	7722.92
O43790	KRT86_HUMAN	KRT86	Keratin, type II cuticular Hb6	17131.4	26599.2	39241.7	139687		71778.7
O43813	LANC1_HUMAN	LANCL1	Glutathione S-transferase LANCL1	4727.37			2573.83	1918.6	
O43865;Q96HN2	SAHH2_HUMAN;SAHH3_HUMAN	AHCYL1;AHCYL2	S-adenosylhomocysteine hydrolase-like protein 1	2923.47					
O60279	SUSD5_HUMAN	SUSD5	Sushi domain-containing protein 5			3973.81		7449.11	
O60330;Q9Y5G4;Q9Y5G5;Q9Y5G7;Q9Y5G8;Q9Y5H0;Q9Y5H2;Q9Y5H3;Q9Y5H4	PCDG1_HUMAN;PCDG3_HUMAN;PCDG5_HUMAN;PCDG6_HUMAN;PCDG8_HUMAN;PCDG9_HUMAN;PCDGA_HUMAN;PCDGB_HUMAN;PCDGC_HUMAN	PCDHGA1;PCDHGA10;PCDHGA11;PCDHGA12;PCDHGA3;PCDHGA5;PCDHGA6;PCDHGA8;PCDHGA9	Protocadherin gamma-A12				4882.57	1320.96	2026.56
O60504	VINEX_HUMAN	SORBS3	Vinexin	3744.29	5290.33	6932.84		6199.64	2634.96
O60506;O43390	HNRPQ_HUMAN;HNRPR_HUMAN	HNRNPR;SYNCRIP	Heterogeneous nuclear ribonucleoprotein R	6069.02	2507.06	3904.93	5353.66	3359.67	
O60701	UGDH_HUMAN	UGDH	UDP-glucose 6-dehydrogenase					3881.64	
O60749;Q13596	SNX1_HUMAN;SNX2_HUMAN	SNX1;SNX2	Sorting nexin-2	2115.02		3550.64	3608.84	3669.38	
O75083	WDR1_HUMAN	WDR1	WD repeat-containing protein 1	22673.1	12529.1	20681.8	18798	27359.5	13867.5
O75131	CPNE3_HUMAN	CPNE3	Copine-3	10554.2	16697.2	14475.9	11675.4	9285.56	15035
O75131;O95741;Q86YQ8;Q8IYJ1;Q96A23;Q96FN4;Q9HCH3;Q9UBL6	CPNE2_HUMAN;CPNE3_HUMAN;CPNE4_HUMAN;CPNE5_HUMAN;CPNE6_HUMAN;CPNE7_HUMAN;CPNE8_HUMAN;CPNE9_HUMAN	CPNE2;CPNE3;CPNE4;CPNE5;CPNE6;CPNE7;CPNE8;CPNE9	Copine-3		3449.16	2827.3	4668.03	4028.8	2753.53
O75223	GGCT_HUMAN	GGCT	Gamma-glutamylcyclotransferase	10505.3	49391	39803.1	36045	31106.8	66014.2
O75323	NIPS2_HUMAN	NIPSNAP2	Protein NipSnap homolog 2	5300.71		7580.29			
O75342	LX12B_HUMAN	ALOX12B	Arachidonate 12-lipoxygenase, 12R-type	15079.4	41549.5	37828.4	54551.4	27535.1	52222.2
O75342;O15296	LX12B_HUMAN;LX15B_HUMAN	ALOX12B;ALOX15B	Polyunsaturated fatty acid lipoxygenase ALOX15B		10028.7	10225.3			10849.7
O75367;Q9P0M6	H2AW_HUMAN;H2AY_HUMAN	MACROH2A1;MACROH2A2	Core histone macro-H2A.1		3959.14	6905.26		8841.25	7036.4
O75368	SH3L1_HUMAN	SH3BGRL	Adapter SH3BGRL	2969.58	1671.76	3153.48	4248.63	2929.07	1959.19
O75390	CISY_HUMAN	CS	Citrate synthase, mitochondrial	1109.1	5868.44	4995.67	6904.73	5545.65	8686.94
O75436;Q4G0F5	VP26A_HUMAN;VP26B_HUMAN	VPS26A;VPS26B	Vacuolar protein sorting-associated protein 26A			1194.61		906.56	2165.49
O75556	SG2A1_HUMAN	SCGB2A1	Mammaglobin-B		21914.9		6205.95	3033.33	3617.4
O75635	SPB7_HUMAN	SERPINB7	Serpin B7	2867.19	17621	18892.4	20443.8	11964.7	27842.4
O75874	IDHC_HUMAN	IDH1	Isocitrate dehydrogenase [NADP] cytoplasmic	4090.45	7736	10225.9	8581.53	5812.17	10625.5
O75874;P48735	IDHC_HUMAN;IDHP_HUMAN	IDH1;IDH2	Isocitrate dehydrogenase [NADP] cytoplasmic		7187.11	6864.25	9956.33	2244.19	5425.14
O75947	ATP5H_HUMAN	ATP5PD	ATP synthase subunit d, mitochondrial	5377.58				4626.73	
O94832	MYO1D_HUMAN	MYO1D	Unconventional myosin-Id	1492.21	2874.82	4972.5		5925.83	
O94875	SRBS2_HUMAN	SORBS2	Sorbin and SH3 domain-containing protein 2	31262	2703.25	20228.9	26693.8	30510.7	16555.9
O94905;O75477	ERLN1_HUMAN;ERLN2_HUMAN	ERLIN1;ERLIN2	Erlin-1	4029.59				2419.94	1947.28
O95084	PRS23_HUMAN	PRSS23	Serine protease 23	1953.99		3091.34		3532.06	
O95865	DDAH2_HUMAN	DDAH2	Putative hydrolase DDAH2			10759.1	4451.13		1464.59
O95969	SG1D2_HUMAN	SCGB1D2	Secretoglobin family 1D member 2		4881.42	2391.07	10006.8	3420.58	49497.7
P00325	ADH1B_HUMAN	ADH1B	All-trans-retinol dehydrogenase [NAD(+)] ADH1B	25770.9	2853.15	8600.75	28447.6	17679.6	5870.85
P00338	LDHA_HUMAN	LDHA	L-lactate dehydrogenase A chain	44488.2	38644.6	44605.5	67623.9	51970.9	37489.2
P00338;P07195;P07864;Q6ZMR3	LDH6A_HUMAN;LDHA_HUMAN;LDHB_HUMAN;LDHC_HUMAN	LDHA;LDHAL6A;LDHB;LDHC	L-lactate dehydrogenase A chain	10601.8	7068.52	7883.02		11050.4	8271.4
P00367;P49448	DHE3_HUMAN;DHE4_HUMAN	GLUD1;GLUD2	Glutamate dehydrogenase 1, mitochondrial	4521.51		3692.75	6603.83	3380.63	2516.02
P00387	NB5R3_HUMAN	CYB5R3	NADH-cytochrome b5 reductase 3	20628.5	11509	22758.9	20527.9	25801.1	8248.18
P00403	COX2_HUMAN	MT-CO2	Cytochrome c oxidase subunit 2		2349.02	1731.14	2241.6	1371.36	
P00441	SODC_HUMAN	SOD1	Superoxide dismutase [Cu-Zn]	10972.1	6754.87	13428		8314.68	13111.9
P00450	CERU_HUMAN	CP	Ceruloplasmin		2732.04	5271.1	5583.43	7295.18	
P00491	PNPH_HUMAN	PNP	Purine nucleoside phosphorylase	2314.86	7327.14	7273.05	6150.48	6705.09	8872.84
P00558	PGK1_HUMAN	PGK1	Phosphoglycerate kinase 1	8104.61	11746.2	13932.9	11627.3	10004	7766.03
P00558;P07205	PGK1_HUMAN;PGK2_HUMAN	PGK1;PGK2	Phosphoglycerate kinase 1	13762	11225.3	13257.1	14237.1	14883.6	6926.96
P00709	LALBA_HUMAN	LALBA	Alpha-lactalbumin			5040.87	73582.4		
P00738	HPT_HUMAN	HP	Haptoglobin	8689.26	6967.57	23330.9	10567.5	37934	3205.85
P00738;P00739	HPTR_HUMAN;HPT_HUMAN	HP;HPR	Haptoglobin	4001	2229.09	5809.86		4988.89	
P00740	FA9_HUMAN	F9	Coagulation factor IX	4504.23		14355.4	2983.16	21396.5	1213.88
P00747	PLMN_HUMAN	PLG	Plasminogen	9458.53		8312.87		13198.2	
P00751	CFAB_HUMAN	CFB	Complement factor B			6876.46		6699.83	
P00915	CAH1_HUMAN	CA1	Carbonic anhydrase 1	5246.72	4729.65	6684.11	18511	10037.1	5870.52
P00966	ASSY_HUMAN	ASS1	Argininosuccinate synthase	3143.17			5335.73		
P01009	A1AT_HUMAN	SERPINA1	Alpha-1-antitrypsin	24012.7	6815.75	17072.9	15915.8	27204.6	7816.27
P01011	AACT_HUMAN	SERPINA3	Alpha-1-antichymotrypsin	10034.3	10297.4	30323.7	39124.4	45970.3	8482.36
P01023	A2MG_HUMAN	A2M	Alpha-2-macroglobulin	9940.45	8820.36	8805.84	5076.14	6846.06	1848.58
P01023;P20742	A2MG_HUMAN;PZP_HUMAN	A2M;PZP	Alpha-2-macroglobulin	7632.69	7510.54	7901.32	7555.61	5026.96	5216.49
P01024	CO3_HUMAN	C3	Complement C3	32812.1	17550.8	48121.8	38015.8	46747	10495.8
P01031	CO5_HUMAN	C5	Complement C5	22566.9				8976.85	
P01036	CYTS_HUMAN	CST4	Cystatin-S	2720.11	27354.5	13919.7			
P01040	CYTA_HUMAN	CSTA	Cystatin-A	46574.2	167636	230734	134403	147501	177119
P01127	PDGFB_HUMAN	PDGFB	Platelet-derived growth factor subunit B	19421.3					
P01591	IGJ_HUMAN	JCHAIN	Immunoglobulin J chain		324576	60407.5			
P01619	KV320_HUMAN	IGKV3-20	Immunoglobulin kappa variable 3-20	15815.4	13590	28446	22513.8	39630.9	11047.4
P01700	LV147_HUMAN	IGLV1-47	Immunoglobulin lambda variable 1-47	3093.56	10904.7	7919.23	8855.21	12873.3	4595.71
P01706;P01709	LV208_HUMAN;LV211_HUMAN	IGLV2-11;IGLV2-8	Immunoglobulin lambda variable 2-11			7093.05		5950.04	
P01764;P01768;P0DP03;A0A0J9YY99	A0A0J9YY99_HUMAN;HV323_HUMAN;HV330_HUMAN;HVC05_HUMAN	IGHV3-23;IGHV3-30;IGHV3-30-5	Ig-like domain-containing protein (Fragment)	2493.48		3642.62		3977.6	
P01833	PIGR_HUMAN	PIGR	Polymeric immunoglobulin receptor		45321.9	17267.9	55392.5	6704.89	10348.6
P01834	IGKC_HUMAN	IGKC	Immunoglobulin kappa constant	10352.8	45519.3	22446.9	32449.7	31255.3	18926.5
P01857	IGHG1_HUMAN	IGHG1	Immunoglobulin heavy constant gamma 1	11899	15050	24904.5	31129.8	31153.4	20222
P01857;P01859	IGHG1_HUMAN;IGHG2_HUMAN	IGHG1;IGHG2	Immunoglobulin heavy constant gamma 1			3645.12		2280.62	
P01857;P01860	IGHG1_HUMAN;IGHG3_HUMAN	IGHG1;IGHG3	Immunoglobulin heavy constant gamma 1	30200.6	12879.4	52389.9	12482.1	71357.6	
P01857;P01860;P01859;P01861	IGHG1_HUMAN;IGHG2_HUMAN;IGHG3_HUMAN;IGHG4_HUMAN	IGHG1;IGHG2;IGHG3;IGHG4	Immunoglobulin heavy constant gamma 1	25226.9	35586.1	82108.8	71680.1	98747.2	55850.5
P01857;P01860;P01861	IGHG1_HUMAN;IGHG3_HUMAN;IGHG4_HUMAN	IGHG1;IGHG3;IGHG4	Immunoglobulin heavy constant gamma 1	3116.93	4419.19	7411.49		8665.65	2814.87
P01859;P01861	IGHG2_HUMAN;IGHG4_HUMAN	IGHG2;IGHG4	Immunoglobulin heavy constant gamma 2	9411.4		17827.5		28494.4	
P01871	IGHM_HUMAN	IGHM	Immunoglobulin heavy constant mu	13998.4	6899.37	8845.48	4869.94	9897.36	3342.04
P01876	IGHA1_HUMAN	IGHA1	Immunoglobulin heavy constant alpha 1	12755.7	163878	91723.9	107375	47034.4	28962.4
P01876;P01877	IGHA1_HUMAN;IGHA2_HUMAN	IGHA1;IGHA2	Immunoglobulin heavy constant alpha 1	22058.5	142094	105278	160211	79195.1	35358.4
P01877	IGHA2_HUMAN	IGHA2	Immunoglobulin heavy constant alpha 2		23614.3	8426.73		8165.45	
P02042	HBD_HUMAN	HBD	Hemoglobin subunit delta	16424.6	4867.12	12901.7	87925.6	16732.1	9138.72
P02144	MYG_HUMAN	MB	Myoglobin	3095.68	9469.15	6503.28	10726.4	9917.21	5703.47
P02452	CO1A1_HUMAN	COL1A1	Collagen alpha-1(I) chain	2.66028e+06	923104	1.40379e+06	2.68104e+06	2.6997e+06	331031
P02452;P02458	CO1A1_HUMAN;CO2A1_HUMAN	COL1A1;COL2A1	Collagen alpha-1(I) chain	12390.1	3056.69			9742.12	
P02461	CO3A1_HUMAN	COL3A1	Collagen alpha-1(III) chain	1.83183e+06	508608	565326	1.18444e+06	1.46461e+06	178950
P02462	CO4A1_HUMAN	COL4A1	Collagen alpha-1(IV) chain	113158	16514.5	53043.2	46795.2	56902.1	24360.6
P02462;P29400	CO4A1_HUMAN;CO4A5_HUMAN	COL4A1;COL4A5	Collagen alpha-1(IV) chain	678161	54877.2	272216	221760	268126	168509
P02511	CRYAB_HUMAN	CRYAB	Alpha-crystallin B chain	18583.3	9987.12	19188.2	23795.3	20352.8	14595.5
P02533	K1C14_HUMAN	KRT14	Keratin, type I cytoskeletal 14	188672	1.09794e+06	1.29212e+06	692608	1.35201e+06	1.36059e+06
P02533;P08727	K1C14_HUMAN;K1C19_HUMAN	KRT14;KRT19	Keratin, type I cytoskeletal 14	30361.5	203644	328797	60415.4	150890	150795
P02538	K2C6A_HUMAN	KRT6A	Keratin, type II cytoskeletal 6A	50506.7	1.1886e+06	1.38111e+06	378230	1.11938e+06	1.81448e+06
P02538;P48668	K2C6A_HUMAN;K2C6C_HUMAN	KRT6A;KRT6C	Keratin, type II cytoskeletal 6A	26840.5	722927	1.39731e+06	270370	775502	1.3084e+06
P02538;P48668;O95678	K2C6A_HUMAN;K2C6C_HUMAN;K2C75_HUMAN	KRT6A;KRT6C;KRT75	Keratin, type II cytoskeletal 75	22130.4	1.11719e+06	1.7206e+06	422393	1.0689e+06	1.89475e+06
P02545	LMNA_HUMAN	LMNA	Prelamin-A/C	109569	35590.4	91185.2	120678	124105	31648.1
P02647	APOA1_HUMAN	APOA1	Apolipoprotein A-I	29644.5	6797.43	41690.2	28737.2	59554.1	12875.2
P02649	APOE_HUMAN	APOE	Apolipoprotein E	98284.2	5587.57	20673.9	9160.6	35667.5	7915.29
P02652	APOA2_HUMAN	APOA2	Apolipoprotein A-II	6935.91		10965.7	5943.31	12589	3217.07
P02656	APOC3_HUMAN	APOC3	Apolipoprotein C-III	6667.41		7155.74	3616.62	5024.07	
P02671	FIBA_HUMAN	FGA	Fibrinogen alpha chain	44510.5	8583.69	34237.8	12148.8	43459	18113.3
P02675	FIBB_HUMAN	FGB	Fibrinogen beta chain	38539.9	8718.77	23742.9	5922.79	36285.8	36628.6
P02679	FIBG_HUMAN	FGG	Fibrinogen gamma chain	57086.3	10354.6	37133.3	10897.2	35411.7	17365.2
P02743	SAMP_HUMAN	APCS	Serum amyloid P-component	413120	28305.8	98967.5	60481.2	199833	21718.5
P02745	C1QA_HUMAN	C1QA	Complement C1q subcomponent subunit A	28045.3		25952.4		82977.1	
P02746	C1QB_HUMAN	C1QB	Complement C1q subcomponent subunit B	27833.8	24761.4	29115.8		91061.7	
P02747	C1QC_HUMAN	C1QC	Complement C1q subcomponent subunit C	24572.3	12566.5	17827.6		55768.4	
P02748	CO9_HUMAN	C9	Complement component C9	164962	54376	53533.5	64469.6	140898	33272.6
P02749	APOH_HUMAN	APOH	Beta-2-glycoprotein 1	2314.88	3139.22	10121.1	3310.26	12333.9	
P02751	FINC_HUMAN	FN1	Fibronectin	311783	292770	276689	41582.6	331323	20976.5
P02760	AMBP_HUMAN	AMBP	Protein AMBP	24893.6	13553.6	25911	19428.5	28737.4	13673.8
P02763	A1AG1_HUMAN	ORM1	Alpha-1-acid glycoprotein 1		2383.32	11502	2138.13	7640.98	1289.18
P02763;P19652	A1AG1_HUMAN;A1AG2_HUMAN	ORM1;ORM2	Alpha-1-acid glycoprotein 1	5294.92	13352.2	22120.2	15618.4	17930.7	5077.51
P02765	FETUA_HUMAN	AHSG	Alpha-2-HS-glycoprotein					5197.76	
P02766	TTHY_HUMAN	TTR	Transthyretin	3968.27	7056.46	14124.8	3216.04	17985.3	1715.45
P02768	ALBU_HUMAN	ALB	Albumin	190787	346052	746545	484007	746797	248940
P02774	VTDB_HUMAN	GC	Vitamin D-binding protein	2627.62		8146.77			
P02787	TRFE_HUMAN	TF	Serotransferrin	9248.39	13635.4	27668.5	19542.2	33422.5	9308.57
P02788	TRFL_HUMAN	LTF	Lactotransferrin	15501.3	199282	89558	855323	29322.5	50800.8
P02790	HEMO_HUMAN	HPX	Hemopexin			9618.59		8986.55	
P02792	FRIL_HUMAN	FTL	Ferritin light chain	5302.56		2498.05			
P02810	PRPC_HUMAN	PRH2	Salivary acidic proline-rich phosphoprotein 1/2		5149.56	6085.59	3898.98		3895.71
P03973	SLPI_HUMAN	SLPI	Antileukoproteinase	5808.49	5496.41				
P04004	VTNC_HUMAN	VTN	Vitronectin	133713	24273	95124.8	22571.8	104471	17223.6
P04040	CATA_HUMAN	CAT	Catalase	25374.7	49369.7	114255	73327.5	48407.3	141182
P04075	ALDOA_HUMAN	ALDOA	Fructose-bisphosphate aldolase A	22102.6	58050.8	23715.5	38439.8	22639.9	16236.9
P04080	CYTB_HUMAN	CSTB	Cystatin-B	7437.9	58919.1	19524.3	20489.4	10809.3	8854.85
P04083	ANXA1_HUMAN	ANXA1	Annexin A1	36353.9	96946.2	23292.3	30753.8	25558.6	16062.6
P04156	PRIO_HUMAN	PRNP	Major prion protein	35453.5					
P04259	K2C6B_HUMAN	KRT6B	Keratin, type II cytoskeletal 6B	6017.75	195977	278913	68049.8	236497	501861
P04259;P02538;P05787;P48668	K2C6A_HUMAN;K2C6B_HUMAN;K2C6C_HUMAN;K2C8_HUMAN	KRT6A;KRT6B;KRT6C;KRT8	Keratin, type II cytoskeletal 6A	11386.3	117784	198753	89700.6	121152	347857
P04259;P02538;P12035;P48668	K2C3_HUMAN;K2C6A_HUMAN;K2C6B_HUMAN;K2C6C_HUMAN	KRT3;KRT6A;KRT6B;KRT6C	Keratin, type II cytoskeletal 6A	77788.5	1.16123e+06	1.85449e+06	545760	1.41776e+06	3.19471e+06
P04259;P02538;P48668	K2C6A_HUMAN;K2C6B_HUMAN;K2C6C_HUMAN	KRT6A;KRT6B;KRT6C	Keratin, type II cytoskeletal 6A	27743.2	566580	557098	182652	345342	1.19315e+06
P04259;P02538;P48668;O95678	K2C6A_HUMAN;K2C6B_HUMAN;K2C6C_HUMAN;K2C75_HUMAN	KRT6A;KRT6B;KRT6C;KRT75	Keratin, type II cytoskeletal 75		490875	629854	134138	413211	508452
P04259;P48668	K2C6B_HUMAN;K2C6C_HUMAN	KRT6B;KRT6C	Keratin, type II cytoskeletal 6B	14925.5	879676	1.59817e+06	216413	724577	1.80739e+06
P04259;Q14CN4;P02538;P48668	K2C6A_HUMAN;K2C6B_HUMAN;K2C6C_HUMAN;K2C72_HUMAN	KRT6A;KRT6B;KRT6C;KRT72	Keratin, type II cytoskeletal 6A		29048.4	4628.61		18968.5	34100.5
P04264	K2C1_HUMAN	KRT1	Keratin, type II cytoskeletal 1	984642	5.66761e+06	4.61288e+06	3.76465e+06	4.17999e+06	5.18748e+06
P04264;P04259	K2C1_HUMAN;K2C6B_HUMAN	KRT1;KRT6B	Keratin, type II cytoskeletal 6B	39608.4	205344	298293	223294	264888	183611
