Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	H:\Perdu-Alloy Pauline\organoides fixes\TU014848CK_Slot1-01_1_3103.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014849CK_Slot1-02_1_3104.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014850CK_Slot1-03_1_3105.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014851CK_Slot1-04_1_3106.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014852CK_Slot1-05_1_3107.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014853CK_Slot1-06_1_3108.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014854CK_Slot1-07_1_3109.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014855CK_Slot1-08_1_3110.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014856CK_Slot1-09_1_3111.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014857CK_Slot1-10_1_3112.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014858CK_Slot1-11_1_3113.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014859CK_Slot1-12_1_3114.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014861CK_Slot1-25_1_3116.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014862CK_Slot1-26_1_3117.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014863CK_Slot1-27_1_3118.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014864CK_Slot1-28_1_3119.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014865CK_Slot1-29_1_3120.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014866CK_Slot1-30_1_3121.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014867CK_Slot1-31_1_3122.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014868CK_Slot1-32_1_3123.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014869CK_Slot1-33_1_3124.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014870CK_Slot1-34_1_3125.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014871CK_Slot1-35_1_3126.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014872CK_Slot1-36_1_3127.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014874CK_Slot1-13_1_3129.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014875CK_Slot1-14_1_3131.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014876CK_Slot1-15_1_3132.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014877CK_Slot1-16_1_3133.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014878CK_Slot1-17_1_3134.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014879CK_Slot1-18_1_3135.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014880CK_Slot1-19_1_3136.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014881CK_Slot1-20_1_3137.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014882CK_Slot1-21_1_3138.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014883CK_Slot1-22_1_3139.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014884CK_Slot1-39_1_3140.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014885CK_Slot1-40_1_3141.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014886CK_Slot1-41_1_3142.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014887CK_Slot1-42_1_3143.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014888CK_Slot1-43_1_3144.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014889CK_Slot1-44_1_3145.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014890CK_Slot1-45_1_3146.d
O14744	O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5		662.79														598.709		677.628					444.706	715.904																	
O14773	O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	1607.35	1169.07	3239.22	2515.94	1921.25	956.694	1436.93	1958.25	1750.15	2247.25	1932.26	2093.18	1856.09	3078.88	1938.78	1897.33	1717.87	2330.15	1630.13	1184.84	2073.83	1557.44	1379.27	1809.34																	
O14818	O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	2120.92	2307.09	2561.48	2834.89	2805.84	1783.59	2407.96	2774.04		2397.05	1701.47	1451.01	1826.42	2785.6	2722.19	2554.87	3556.5	2480.8	1853.66	3893	2525.51	2384.18	2813.66	2298.45		4646.36	4556	4300.07	4960	5019.28	3924.65	5199.38	4009.67	4953.41	5375.4	4388.14	3910.68	3840.41	4377.06	4139.08	4301.5
O14950;P19105	O14950;P19105;P24844	ML12A_HUMAN;ML12B_HUMAN	MYL12A;MYL12B	Myosin regulatory light chain 12B	1700.13	858.024	1054.98	1795.73	1389.81	1576.72	1957.55	1786.56	5052.21	2070.3	2445.54		2798.44	1807.44	1494.93	1709.2	2513.28	1525.33	1882.78	2146.09	1746.22	2056.26	3558.2	2480.51		2474.09	3057.59	2308.05	2912.37	2987.6	2974.28	3359.41	2742.86	3268.86	2465	3126.77	2334.62	2964.93	2713.05	2556.12	3016.06
O15042	O15042	SR140_HUMAN	U2SURP	U2 snRNP-associated SURP motif-containing protein	603.318	408.84			528.226	457.775							1047.47	526.742							493.005																				
O15144	O15144	ARPC2_HUMAN	ARPC2	Actin-related protein 2/3 complex subunit 2		1138.14	1364.94										1288.94	632.459		872.61		1043.91			527.489	737.301	1365.44												3048.39						
O15145	O15145	ARPC3_HUMAN	ARPC3	Actin-related protein 2/3 complex subunit 3	883.294	638.261	513.02					495.641		616.271			497.197	506.112	443.135	801.517		495.605	690.875	776.175	552.5	753.433	662.674	730.839						1125.29					1536.74	1172.87			682.742		
O15264;P45983;P45984;P53778;P53779;Q15759;Q16539	O15264;P45983;P45984;P53778;P53779;Q15759;Q16539	MK08_HUMAN;MK09_HUMAN;MK10_HUMAN;MK11_HUMAN;MK12_HUMAN;MK13_HUMAN;MK14_HUMAN	MAPK10;MAPK11;MAPK12;MAPK13;MAPK14;MAPK8;MAPK9	Mitogen-activated protein kinase 13		676.609	653.866		711.338								344.128					529.423					1081.79																		
O15371	O15371	EIF3D_HUMAN	EIF3D	Eukaryotic translation initiation factor 3 subunit D		352.811		774.393	693.257	491.061		499.104											519.597	630.946			410.132										972.478		1102.27					981.986	
O43150	O43150	ASAP2_HUMAN	ASAP2	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2	1.02667e+06		943432	1.39307e+06	1.38496e+06	1.26885e+06	1.11358e+06	1.03898e+06	966450	1.01815e+06	970662	948812	922075	1.3975e+06	1.04402e+06	1.36325e+06	1.44416e+06	1.42591e+06	1.27436e+06	1.14737e+06	1.3255e+06	1.2164e+06	1.32422e+06	1.15443e+06		935783	1.05292e+06	930469	1.25638e+06	912458	872716	973820	824404	878103	1.25316e+06	769151	1.01409e+06	758099	676918	697796	735155
O43175	O43175	SERA_HUMAN	PHGDH	D-3-phosphoglycerate dehydrogenase	2301.58	1204.88	2990.18	2264.01	2142.63	2125.04	2560.5	2811.89	1941.13	2343.95	1971.81	2279.59	2498.39	2033.2	2687.25	2269.19	2055.24	1533.67	2331.35	2548.32	2075.55	2350.6	2122.34	3478		2830.51	3732.66	2832.7	3489.46	3555.66	3622.45	3694.39	3462.99	3935.76	3135.42	3424.62	3775.42	3807.59	3795.35	3485.46	3876.39
O43240	O43240	KLK10_HUMAN	KLK10	Kallikrein-10		1004.88	1241.64	989.392	859.802	1330.14		2214.82		671.594			630.811	575.659	601.802	1691.91	905.032	1248.5		1348.35		972.329													2144.38						
O43242	O43242	PSMD3_HUMAN	PSMD3	26S proteasome non-ATPase regulatory subunit 3		259.421	688.363				390.266	365.753		397.109	566.974		585.387	375.704			911.916	204.134	393.094		416.553		205.155				1339.62	937.877	927.081			1264.41	1225.42	1395.02		1102.72		1340.06	1192.5	1209.01	1331.71
O43247	O43247	TEX33_HUMAN	TEX33	Testis-expressed protein 33			1416.3	2635.91	2377.09	1013.41	2960.67			2039.45	1607.8		2038.15									2007.81		3025.56																	
O43390	O43390;O60506	HNRPR_HUMAN	HNRNPR	Heterogeneous nuclear ribonucleoprotein R	3225.65	1332.92	1950.29	3508.74	1956.51	2676.42	2538.5	2385.5	2188.03	1945.65	1165.68	1099.25	2531.26	1502.07	2421.37	1398.36	1891.22		2042.65	1202.9	2394.55	1462.05	1653.74	3074.2												7744.78					
O43488;Q8NHP1	O43488;Q8NHP1	ARK72_HUMAN;ARK74_HUMAN	AKR7A2;AKR7L	Aflatoxin B1 aldehyde reductase member 2	1134.08	289.774	343.235		506.77	612.497	792.689	693.73		834.174	503.905		580.051	706.343	786.329	694.981	713.789		329.395	867.232	602.456	684.801	840.441	738.772		1180.98	1344.13	1217.9		1523.06	1473.32	1651.09	1495.16	1470.94	1322.5	1440.82	1955.79	1291.18	1367.82	1655.46	1600.95
O43548	O43548	TGM5_HUMAN	TGM5	Protein-glutamine gamma-glutamyltransferase 5		1044.08			682.074											997.753		365.658					437.428					4433.7							4350.74						
O43602	O43602	DCX_HUMAN	DCX	Neuronal migration protein doublecortin	1257.01	409.499	687.259	1254.85	832.026	1107.94	1949.19	950.49		1300.14	1146.64		952.165	1172.44	1279.44	1263.16	2303.17	1067.72	1290.19	2016	1382.38	1031.66	965.353	1165.1																	
O43670	O43670	ZN207_HUMAN	ZNF207	BUB3-interacting and GLEBS motif-containing protein ZNF207	1788.86	263.851	1127.63	1237.42	2250.77	2170.93	2471.67	1547.74		1322.22	1476.76		1550.48	889.951	1274.59	1196.59	1230.59	1165.75	1176.2		596.58	1777.2	1094.49	1225.54																	
O43707	O43707	ACTN4_HUMAN	ACTN4	Alpha-actinin-4	495.039	1642.55	720.869	478.473	560.007		2111.12			864.428	242.781		1097.98	433.257	425.726	1727.58	992.133	581.165		641.822	988.141	983.373	3501.81	1332.44			1341.04	350.526	868.572	966.759		940.995			3725.28	868.588		814.782	516.389	763.614	
O43760	O43760	SNG2_HUMAN	SYNGR2	Synaptogyrin-2	637.275	2183.43			1096.42	1340.06								889.623		1652.17	1233.39	1638.83	747.269			939.441																			
O43776	O43776	SYNC_HUMAN	NARS	Asparagine--tRNA ligase, cytoplasmic	456.62	576.488	531.133	951.739	469.82	697.879	817.166	882.392		931.597	1521.15	1709.6	1304.23	1241.24	1877.34	727.449	1171.96	941.777	1150.3	1449.98	1475.99	1051.01	1556.99	667.387													1321.36			2165.13	
O43790	A6NCN2;O43790;P78385;P78386;Q14533	KRT86_HUMAN	KRT86	Keratin, type II cuticular Hb6		805.343	1238.32	1194.86	1270.98	1161.02		2260.16		405.259	1604.89		1352.03		1230.55	1372.69		302.529	1765.64	1040.91	1638.93			2199.84					9083.49		5141.1										
O43830;Q96GC6	O43830;Q96GC6	ZN274_HUMAN;ZNF73_HUMAN	ZNF274;ZNF73	Zinc finger protein 73																																			16041.9						
O60218	O60218	AK1BA_HUMAN	AKR1B10	Aldo-keto reductase family 1 member B10		660.102																																							
O60282;P33176;Q12840	O60282;P33176;Q12840	KIF5A_HUMAN;KIF5C_HUMAN;KINH_HUMAN	KIF5A;KIF5B;KIF5C	Kinesin heavy chain isoform 5C		650.82								2694.26	1968.18		1847.08	1797.94	2192.92	1556.39				1892.41	1789.41	1945.93					2973.37								2190.28					2657.25	
O60437	O60437	PEPL_HUMAN	PPL	Periplakin		1395.5			516.621	568.336					357.986		808.262	788.337				901.293	3364.13		339.243	1146.78	1171.37	795.958		1796.38	2052.47	1816.53		1636.5					1725.63						1488.13
O60701	O60701	UGDH_HUMAN	UGDH	UDP-glucose 6-dehydrogenase		187.63														325.383		428.58	131.232				420.214				587.584													635.606	500.776
O60814;P57053;P58876;P62807;Q5QNW6;Q93079;Q99877;Q99879;Q99880	O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880	H2B1C_HUMAN;H2B1D_HUMAN;H2B1H_HUMAN;H2B1K_HUMAN;H2B1L_HUMAN;H2B1M_HUMAN;H2B1N_HUMAN;H2B2F_HUMAN;H2BFS_HUMAN	H2BFS;HIST1H2BC;HIST1H2BD;HIST1H2BH;HIST1H2BK;HIST1H2BL;HIST1H2BM;HIST1H2BN;HIST2H2BF	Histone H2B type 1-K	72898.4	19919	46574.7	38625.9	50486.5	44797.6	43032.4	38438.6	58662.9	45321.4	132613	51506.9	75461.1	42323.8	48057.4	46076.3	41915.9	44536.6	55210.8	81163.4	40984.1	76821	51280.6	39467.7		32141.3	44889.8	34477.9	40807.3	42010.6	35670.6	56599.9	52964	49863.6	33886.8	36964.3	46571.3	92996.2	71414.9	40392.4	42188.8
O60869	O60869	EDF1_HUMAN	EDF1	Endothelial differentiation-related factor 1	5660.11	1020.15	4696.73	3951.05	4234.26	4865.54	4355.79	3716.25	3635.22	5696.7	5412.07	5510.27	7847.49	6923.78	7107.98	4487.85	5303.86	3663.88	5111.97	7195.87	6767.21	5791.02	4195.44	4378.94		5403.03	6198.22	4549.75	6757.33	6883.21	7132.95	6801.72	7615.2	6379.28	5033.43	8626.16	6791.04	6709.68	7257.94	7285.82	6573.38
O75083	O75083	WDR1_HUMAN	WDR1	WD repeat-containing protein 1		554.923																													2326.07				1909.91						
O75131	O75131	CPNE3_HUMAN	CPNE3	Copine-3	636.537	895.658	963.92	1762.95		1620.05		1179.32		1274.37	1428.57		1117.96	1386.1	1221.96	1710.53	1064.02	1985.16	1623.33	1407.19	1005.38	2225.77	1039.47	1010.91		2863.58	2565.54	2955.1	2497.21	3125.38	1944.9				2283.82		1641.73	1944.96	1924.21	2277.47	2197.38
O75146	O75146	HIP1R_HUMAN	HIP1R	Huntingtin-interacting protein 1-related protein		1808.56													2573.86	3178.8		3007.19	2162.8																						
O75223	O75223	GGCT_HUMAN	GGCT	Gamma-glutamylcyclotransferase	8832.56	5789.4	9777.73	8274.25	8078.26	7153.48	8022.6	9309.94	9588.29	9373.79	9093.05	10538.7	7691.13	8523.31	8766.93	8665.9	7745.21	10005.3	8899.86	9145.42	8897.94	8827.2	6627.04	9163.41		6557	5475.46	6452.3	5275.96	5034.34	6256.57	5755.27	6009.15	5802.15	4004.34	4129.15	4300.49	5123.68	4328.45	3745.54	4694.63
O75340	O75340	PDCD6_HUMAN	PDCD6	Programmed cell death protein 6		745.737			201.822	706.239		505.816		650.701	804.332		440.005	451.27	461.954	622.806	558.334	297.192			573.51	537.331	887.636			759.109	758.097	718.425	752.062	767.279	612.627	1085.96	822.241	873.901	1336.18	879.725		763.607	650.672	711.075	931.001
O75342	O75342	LX12B_HUMAN	ALOX12B	Arachidonate 12-lipoxygenase, 12R-type	3621.01	7136.31	5706	6031.77	5062.33	4583.22	2684.39	3302.59		2278.62	2739.46	3933.25	3034.19	6236.61	2686.4	6285.91	5020.15	10532.5	7582.79	3135.93	4069.16	6363.04	5314.78	3342.55		12056.5	10372.6	13452.5	13978.1	8761.66	7930.46		9189.18		10049.8		5737.57	4189.62		6518.96	7066.53
O75367	O75367	H2AY_HUMAN	H2AFY	Core histone macro-H2A.1	3021.89	1064.86	4321.53	2331.72	2656.4	2453.91		2452.65	2104.94	2389.23	3661.55	2558.94	3477.81	2125.88	2595.07	3093.83	3122.11	1695.62	2490.07	3696.2	1283.09	2369.72	1668.78	2772.47		2053.31	3299.09	2297.58	3381.66	3409.09	2538.25	3714.93	3013.75	3329.26	2836.3	3806.31	3091.92	4053.13	3179.29	2636.16	2065.81
O75369	O75369	FLNB_HUMAN	FLNB	Filamin-B	2118.24	1319.55	2109.61	1832.01	1395.81	1621.3	1831.98	1759.87	1762.28	1613.76	1375.57	3177.06	1479.91	1382.73	1504.96	1694.22	2190.88	1683.4	1788.95	1465.37	1594.41	1654.68	1887.08	1787.08		2244.63	1984.73	1525.59	1812.45	2204.66	2970.92	2094.33	1769.46	2019.33	2042.9	1867.59	2035.21	1629.62	2419.51	1530.52	1757.62
O75436	O75436	VP26A_HUMAN	VPS26A	Vacuolar protein sorting-associated protein 26A		651.288														1028.33							881.71					2237.99													
O75531	O75531	BAF_HUMAN	BANF1	Barrier-to-autointegration factor		244.754		154.975	367.182						183.716			201.129	495.945	340.122	379.245	272.091		442.118	352.749	179.466																			
O75534	O75534	CSDE1_HUMAN	CSDE1	Cold shock domain-containing protein E1															1050.38						1192.41	840.09																		2085.16	
O75608	O75608	LYPA1_HUMAN	LYPLA1	Acyl-protein thioesterase 1		1018.63			1221.42								511.475			995.002		1979.95	608.831	880.526						2414.28															
O75874	O75874	IDHC_HUMAN	IDH1	Isocitrate dehydrogenase [NADP] cytoplasmic	2242.65	1907.93	2126.96	2234.46	1739.85	2188.86	1942.41	2150.13		2335.96	2097.65	3105.77	2240.03	2264.31	2452.79	2623.27	2290.02	1404.14	2373.02	1830.29	1807.55	2716.88	1283.98	3137.1		2897.15	2533.37	2799.6	3037.42	3014.7	2755.04	2745.06	3294.11	3109.86	2505.77	2880.35	2518.89	2383.43	2906.04	2882.39	2568.7
O75936	O75936	BODG_HUMAN	BBOX1	Gamma-butyrobetaine dioxygenase		234.24																																							
O76009	O76009;O76011;Q14525;Q15323	KT33A_HUMAN	KRT33A	Keratin, type I cuticular Ha3-I	755.717	988.378	3002.93	827.486	1168.39	1688.83	1495.5	2378.63		1781.89	4243.87	1656.53	1425	1067.17	1495.48	2148.59	957.908	1348.51	3194.01	1145.22	1994.76	1016.31	520.409	1173.82		2268.78	2528.75	2576.34	3979.55		3221.52	3328.7	2286.9	2557.9	1882.39			2211.5	2103.32	5950.56	2589.97
O76013	O76013;Q14532	KRT36_HUMAN	KRT36	Keratin, type I cuticular Ha6		1019.41	2673.67	1848.85	1872.65	1501.31		1387.68		1076.66	1386.46					2755.01	1916.78	1405.51	1560.57	550.168		1250.29	1224.67	812.519		1209.49			2235.35	1040.98		1171.05	1016.54	945.438	1806.88		1869.41				
O76027	O76027	ANXA9_HUMAN	ANXA9	Annexin A9		1226.17				448.797										949.779							784.096																		
O76031	O76031	CLPX_HUMAN	CLPX	ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial	8062.98	2369.22	9297.22	6883.89	7885.6	7643.01	8353.06	9169.05	8284.38	9209.79	8279.02	11262.1	7377.32	8704.44	8034.33	6888.81	8185.59	6519.75	5778.51	7264.73	6316.06	6861.29	6307.78	6225.87		6192.92	7673.7	6655.3	7076.36	8078.2	6770.46	7850.52	7354.53	7454.69	5501.37	6218.93	5998.56	5686.16	6275.97	6331.29	6839.89
O95171	O95171	SCEL_HUMAN	SCEL	Sciellin		656.044																																							
O95197	O95197	RTN3_HUMAN	RTN3	Reticulon-3		1175.55	1195.85		741.694	685.443							897.383			1022.07		701.263		1541.61		1038.98				2144.23		2793.68	2554.68	2300.05			1606.18	1855.65	2128.47						
O95777	O95777	LSM8_HUMAN	LSM8	U6 snRNA-associated Sm-like protein LSm8	1837.06	719.401	1748.38	898.372		1304				1294.65	1560.15		1202.05		1286.39	892.498	1216.53		1220.05		1525.76		674.592			3258.44					3054.4	3536.82			3868.07	3931.5	3233.03	3120.37	3180.61	3525.66	2955.58
O95833	O95833	CLIC3_HUMAN	CLIC3	Chloride intracellular channel protein 3		1531.87																				1460.13	1102.18																		
O95969	O95969	SG1D2_HUMAN	SCGB1D2	Secretoglobin family 1D member 2	20845.5	5385.51	16293.8	18252.7	20311.1	20306.6	18315.9	17767.8	14350.5	22494.9	23298.3	15480.5	18057.9	18606	26560.9	17715.3	17012.4	12486.8	16030.6	17935.4	16658.7	21012.6	10484.4	17150.6		10338.1	14209.1	10552.4	8908.39	10959.7	9259.86	12803	9880.94	12004.7	6590.19	10767.4	8436.67	10583.6	10382.5	10718.7	10633.1
P00167	P00167	CYB5_HUMAN	CYB5A	Cytochrome b5		169.676																					812.296																		
P00338	P00338	LDHA_HUMAN	LDHA	L-lactate dehydrogenase A chain	1817.61	3022.17	2057.73	1371.51	987.071	1236.53	2080.87	1453.81	2378.45	775.078	1866.87	1789.15	2476.69	1474.57	2114.99	2077.93	1448.67	2029.19	2050.52	1952.5	1562.79	1770.07	4160.85	2558.44		3102.2	2146.05	1899.49	2751.12		1890		2045.31	2394.21	4460.54	2564.94		3001.55	2800.17	2288.27	2699.44
